site_name,What does the respondent call the site?,governorate,district,subdistrict,site_typology,Is this a single or clustered site?,How many sites are there?,coordinates_latitude,coordinates_longitude,background/hhs_clusterd_dispersed,background/date_first_occupied,background/date_majority_arrived,hh/total_families,hh/total_population,hh/total_females,hh/total_children,hh/total_schoolagedchildren,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,background/governorate_aoo,background/district_aoo,background/location,background/date_of_firstdeparture,social_cohesion/intentions_three,social_cohesion/intentions_twelve,social_cohesion/reasons_not_to_return,shelter_type/types,shelter_type/damaged_inneedof_repairs,shelter_type/main_priority_concerns,shelter_type/payingrent,shelter_type/tenancy_agreement,social_cohesion/eviction,Which actors are trying to forcibly evict the site residents?,What are the main reasons that these households are at risk of forcible eviction?,physical_conditions/overcrowding,physical_environment/dis_access,physical_environment/electric,physical_environment/elec_concerns,physical_environment/fire_equipment,physical_environment/mines,Which services/ assistance are needed most urgently in the site (select up to 3)?,Have any services or assistance been provided to the site in the last 3 months?,(if yes) What type of assistance (select all that apply)?,(if yes) From who? (select all that apply)?,Do households in the site need more information on how to access needed services?,sanitation/drinking,sanitation/water_acceptable,"In the last 30 days, were any households unable to access their primary source of drinking water?",(If yes) How many households experienced access issues?,(If yes) For how many days on average (in the last 30)?,"(if yes) How do households cope with lack of access i.e. buy water, rely on communal tanks etc (select all that apply)?",latrines/functional_types,showers/functional_types,sanitation/open_def,Were any households unable to access or afford basic hygiene items in the last 30 days?,sanitation/flooding,sanitation/wastecollection,What were the main health issues experienced by site residents in the last 30 days (select all that apply)?,health/functional_clinic_within_5km,"In what area is it located i.e. town, sub-district",health/emergency_services,health/surgical_services,health/pediatric_services,health/prenatal_services,health/functional_hospital_within_10km,"In what area is it located i.e. town, sub-district","In your opinion, what are the barriers to accessing healthcare services  from the site?",health/ambulance,Have there been any vaccination campaigns providing vaccinations in the last 6 months at the site?,food_security/food_access_in_last_7_days,food_security/main_concern,food_security/pds,livelihoods/markets,(if yes) How far away (km)?,"In the last 30 days, were there any basic food or non-food items that were not affordable to the average household?",What are the primary sources of livelihoods people in the site have access to / are engaging in?,"In your opinion, what are the barriers to accessing livelihoods/income generating opportunities from the site ?",Approximately what proportion of minors (under the age of 18) from the site worked in the last 30 days?,education/primary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/secondary_school_in_sites,(if yes) How far away (km)?,(if yes) Are there sufficient certified teachers?,education/school_aged_children_able_to_access_school,"In your opinion, what are the primary challenges to accessing formal education?",How many school-aged children have not been attending formal education in the last school year?,"Are any groups of children less able to access formal or non-formal education i.e. high-school aged boys or girls, or children with disabilities?",protection/movement_restrictions,social_cohesion/tension,protection/security_incidents,protection/safety,protection/facilities_services_disability,protection/facilities_services_mental_disability,"Are there adequate mental health and psycho-social support services available for persons in the site, through government, humanitarian or private service providers?",protection/civil_documents,protection/accessible_courts,_id,_uuid,_submission_time,_validation_status,_index,admin3Na_1,admin3Pcod,admin2Pcod,admin1Pcod
Hay Alfirdous - Nearby AL Ahrar school,Karim Theyab Nada,Salah Al-Din,Tikrit,Um Al-Qura,Collective centre,Single,,34.58951156,43.66433052,IDP households are clustered together,9/1/2016,5/1/2017,219,1200,500,300,120,5,1,0,20,100,90,7,Salah al-Din,Baiji Samarra,No,1/1/2015,Stay at site,Stay at site,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,House Apartment Unfinished and abandoned Residential building Damaged Residential building,Less than half shelters (25%-49%),Don't know,Nearly all households (75%-99%),Verbal tenancy agreement,No,,,Yes,"Yes, without any problem",All have access (100%),Overloaded circuits,Fire blankets Sand buckets,Neither present in or around the site,Cash Food assistance WASH (water),No,,,Yes,Municipal water network (communal access),Yes,Yes,Less than half (25%-49%),10,Purchase from truck,Private latrines,Private showers,No,No,No,Yes,None,Yes,Tikrit,Yes,Yes,Yes,Yes,Yes,Tikrit City,None,Yes,No,Less than half (25%-49%),Limited access to food due to limited economic resources,Yes,Yes,3,"Basic food items Water Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Hygiene items Basic medicine Kerosene",Unskilled wage labour Casual unskilled labour,Lack of family/personal connections,30,Yes,1,Yes,Yes,3,Yes,55,None,Less than a quarter (1%-24%),None,None,No,No,Yes,No,No,No,Less than a quarter (1%-24%),4,66592104,3f9d68cd-80f9-48cf-b5cc-43bed82cb122,2019-09-03T15:13:11,,61,?? ?????,IQG16Q06N01,IQG16Q06,IQG16
Hay Al Dhubbat - Near of al kherat shop,Salwan Ahmad Saeed,Salah Al-Din,Tikrit,Um Al-Qura,Collective centre,Single,,34.62962628,43.66882556,IDP households are dispered,9/1/2016,6/1/2017,20,140,75,25,25,2,0,1,3,8,20,1,Salah al-Din Ninewa,Baiji,No,9/1/2016,Stay at site,Don't know,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,House Apartment Unfinished and abandoned Residential building,Less than half shelters (25%-49%),Don't know,Nearly all households (75%-99%),Verbal tenancy agreement,No,,,Yes,"Yes, without any problem",All have access (100%),Overloaded circuits,Fire extinguishers,Neither present in or around the site,Shelter rehabilitation Cash for Work activities,No,,,Yes,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,No,Don't know,No,Yes,None,Yes,Tikrit,Yes,Yes,Yes,Yes,Yes,Tikrit City,None,Yes,Yes,Less than half (25%-49%),Limited access to food due to limited economic resources,Yes,Yes,1,Basic food items Kerosene,Unskilled wage labour Casual unskilled labour Self-employment,Lack of family/personal connections,18,Yes,2,Yes,Yes,2,Yes,22,None,Less than a quarter (1%-24%),Male middle school Female high school,None,No,No,Yes,Yes,Yes,No,Less than a quarter (1%-24%),3,66828855,0716deb4-ea3f-4cd0-be38-15024eb567c3,2019-09-05T14:15:09,,119,?? ?????,IQG16Q06N01,IQG16Q06,IQG16
Al Mahzam village - Cluster of unfinished buildings near Al Mahzum mosque,Musaap Atiya Turki,Salah Al-Din,Tikrit,Um Al-Qura,Collective centre,Single,,34.72883714,43.64312888,IDP households are dispered,6/1/2014,10/1/2017,28,200,75,50,40,9,0,0,0,3,2,6,Salah al-Din Kirkuk,Baiji,Beji,9/1/2014,Stay at site,Stay at site,No financial means to return and restart Lack of livelihood/income generating activities in AoO House has been damaged/destroyed,House,No shelters (0%),"Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Less than half (25%-49%),Verbal tenancy agreement,No,,,No,"Yes, without any problem",All have access (100%),None,Fire extinguishers Fire blankets,Neither present in or around the site,Cash Food assistance,No,,,No,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,No,No,No,Yes,None,Yes,Al mazm,Yes,No,Yes,Yes,Yes,Tikrit City,None,Yes,No,No households (0%),None,Yes,Yes,1,Everything needed is available,Self-employment Low skilled service industry Pension from government,None,5,Yes,1,Yes,Yes,1,Yes,60,None,Less than a quarter (1%-24%),None,None,No,No,Yes,Yes,Yes,Yes,No households (0%),10,66828791,3d04fbd0-971f-4d01-933d-ccceae41ed04,2019-09-05T14:14:48,,115,?? ?????,IQG16Q06N01,IQG16Q06,IQG16
Bani 1,Bani,Duhok,Duhok,Zawita,Collective centre,Single,,36.90995089,43.23371784,IDP households are dispered,8/1/2014,9/1/2014,86,434,204,175,150,1,0,0,1,5,10,10,Ninewa,Sinjar,Qabosi,8/1/2014,Stay at site,Stay at site,"Security concerns: Fear of discrimination No financial means to return and restart Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building,All shelters (100%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",No households (0%),No tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Poor wiring,None,Neither present in or around the site,Winterization items Other,Yes,Food assistance NFIs,Government assistance,Yes,Municipal water network (private access),Yes,No,,,,Private latrines,Private showers,No,No,No,Yes,None,No,,,,,,Yes,Bakyra,Cost of healthcare was too high No qualified healthcare professionals Cost of transport was too high,No,Yes,Less than a quarter (1%-24%),None,Yes,No,,,Casual unskilled labour,Available jobs are too far away Underqualified for available jobs,10,No,,,No,,,60,"Not enough schools or classrooms Physical/ logistical constraints Long distance to travel to school Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc)",Less than a quarter (1%-24%),Male primary school Female primary school,None,No,No,Yes,No,No,No,No households (0%),50,66824979,ed880fa4-81e8-42d5-95bc-6a4ea9360480,2019-09-05T13:50:15,,99,??????,IQG09Q02N03,IQG09Q02,IQG09
Hay Al Tammem - School near Al t'mem st,Al Haekal School,Ninewa,Al-Mosul,Al-Muhamadath,Collective centre,Single,,36.35230503,43.18619905,IDP households are clustered together,7/1/2017,8/1/2017,30,125,53,23,40,1,0,0,4,30,3,0,Ninewa,Tilkaif,Zwmar  ,4/1/2017,Stay at site,Stay at site,No financial means to return and restart House has been damaged/destroyed,"Public building (school, etc.)",Most shelters (50%-74%),"Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,Yes,Local authorities,Authorities requested our community to leave,Yes,"No, the site is not accessible",All have access (100%),None,None,Neither present in or around the site,Cash Food assistance Fuel,Yes,"In-kind shelter assistance i.e. tarpaulines, tents Shelter rehabilitation",INGO,Yes,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,No,No,No,No,"Skin diseases (scabies, contagious rashes, etc.)",Yes,Hay Al Noor,No,No,Yes,No,Yes,Al Wahda,Cost of healthcare was too high Medication not available No transport available,Yes,Yes,No households (0%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Limited access to food due to limited economic resources",Yes,Yes,1,"Tools, hardware and materials",Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone,4,Yes,2,Yes,Yes,2,Yes,55,"Physical/ logistical constraints Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc)",No children (0%),Female high school,None,No,No,Yes,No,No,No,No households (0%),4,67715964,0042bf44-1f2f-4039-867f-ee6aa822aaed,2019-09-13T12:43:41,,258,????????,IQG15Q05N04,IQG15Q05,IQG15
Kilo 18 - Al Saka,Ali mohammed Salman,Baghdad,Al-Mahmoudiya,Al-Latifya,Dispersed settlements,Single,,32.96294308,44.36304785,IDP households are dispered,6/1/2014,7/1/2014,300,1400,450,40,50,10,0,0,4,10,9,3,Babylon Anbar,Musayab,No,6/1/2014,Stay at site,Return to AoO,Security concerns: Fear/trauma associated with returning to place of origin,House,Less than half shelters (25%-49%),"Protection from hazards (contamination from explosive remnants of war, land at risk of flooding or landslides, solid waste dumping site, fire risks, etc.)",Less than half (25%-49%),No tenancy agreement,No,,,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Not enough electricity supply to the whole site,None,Neither present in or around the site,Food assistance,Yes,Food assistance,Don't know,No,Purchase water from shop,Yes,Yes,All have access (100%),10,Communal water storage,Private latrines,Private showers,No,Yes,No,Yes,None,Yes,killo 18,Yes,Yes,Yes,Yes,Yes,Al Latefea Kilo 18,Insufficient funds to purchase treatment/ medication,Yes,Yes,All households (100%),None,Yes,Yes,2,"Basic food items Water Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials",Self-employment,Increased competition for jobs; not enough jobs for everyone,3,Yes,2,Yes,Yes,2,Yes,95,None,All children (100%),None,None,No,No,Yes,Yes,Yes,Yes,Less than a quarter (1%-24%),1,66591410,ad6422b7-f080-48e5-abe3-6ae0df0b43aa,2019-09-03T15:08:09,,60,????????,IQG08Q05N03,IQG08Q05,IQG08
Unformal Shelter - Irregular random houses close to the mountain,Abdullghafour Madieh Amin,Salah Al-Din,Tooz Khurmato,Markaz Tooz Khurmato,Dispersed settlements,Single,,34.9044451,44.63407729,IDP households are dispered,10/1/2015,12/1/2015,20,91,44,13,8,3,0,0,0,3,4,2,Diyala Salah al-Din,Ba'quba Khalis,School,8/1/2015,Stay at site,Stay at site,Security concerns: Fear/trauma associated with returning to place of origin House has been damaged/destroyed Lack of education opportunities for children in the area of origin,House,Most shelters (50%-74%),"Protection from hazards (contamination from explosive remnants of war, land at risk of flooding or landslides, solid waste dumping site, fire risks, etc.) Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Nearly all households (75%-99%),Written valid tenancy agreement (not expired),Don't know,,,No,"Yes, without any problem",Nearly all have access (75%-99%),Not enough electricity supply to the whole site,None,Neither present in or around the site,Cash Food assistance Protection services (psycho-social support),No,,,Yes,Municipal water network (communal access),No,No,,,,Communal latrines,Communal showers,No,Yes,No,No,Numerous cases of diarrhea Typhoid Hepatitus A/E,Yes,Komry,Yes,No,Yes,No,Yes,General St.,No qualified healthcare professionals Refused treatment,Yes,Yes,Less than half (25%-49%),No cooking facilities Limited access to food due to security constraints,Yes,Yes,3,Basic food items Hygiene items,Commercial agriculture Low skilled service industry,"Only low-skilled, socially degrading or low-paid jobs are available Lack of family/personal connections",2,Yes,2,No,No,,No,85,Not enough teachers Physical/ logistical constraints,Less than a quarter (1%-24%),None,None,No,No,Yes,Yes,No,No,Less than half (25%-49%),5,66817015,7f085464-4423-4666-9480-af3bb6f3a9d3,2019-09-05T13:04:10,,94,???? ??? ???????,IQG16Q07N02,IQG16Q07,IQG16
Hay Komari-120 - Mabany Tajawz,Ali mohammed Dle,Salah Al-Din,Tooz Khurmato,Markaz Tooz Khurmato,Dispersed settlements,Single,,34.8982163,44.62713473,IDP households are clustered together,10/1/2015,12/1/2015,30,830,400,250,90,4,0,0,3,5,11,4,Kirkuk Diyala,Daquq Hawiga,More than one district,5/1/2015,Stay at site,Return to AoO,No financial means to return and restart Household assets have been damaged/stolen Lack of education opportunities for children in the area of origin,House,Less than half shelters (25%-49%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve structural stability of the building (signs of failure such as leaning walls, big cracks and bends in structural components  - beam, slab, column, rafter, purlin and wall risk of falling debris)",Most households (50%-74%),Verbal tenancy agreement,No,,,No,"Yes, without any problem",Most have access (50%-74%),Not enough electricity supply to the whole site,None,Neither present in or around the site,Shelter rehabilitation Protection services (legal assistance) Protection services (child protection or GBV),No,,,Yes,Municipal water network (communal access),Yes,Don't know,,,,Communal latrines,Communal showers,No,Yes,No,No,Numerous cases of diarrhea Numerous cases of respiratory diseases Typhoid,Yes,Komry,No,Yes,Yes,No,Yes,General St.,Facility not equiped to deal with the problem Insufficient funds to purchase treatment/ medication Lacked correct civil documentation,Yes,Yes,Most households (50-70%),No cooking facilities Limited access to food due to security constraints,Yes,Yes,2,Basic food items Hygiene items,Low skilled service industry Public security official,"Only low-skilled, socially degrading or low-paid jobs are available Lack of family/personal connections",14,Yes,1,No,Yes,1,No,15,Not enough teachers Not enough learning materials Security constraints (e.g. presence of UXOs in or around the school),Less than a quarter (1%-24%),Female middle school Children with disabilities,No money for transportation cost Risk to personal safety,Don't know,No,Yes,Yes,Don't know,Yes,Less than half (25%-49%),3,66811842,0778e52a-d30d-46c0-9cf2-e9bbc55956b1,2019-09-05T12:34:06,,82,???? ??? ???????,IQG16Q07N02,IQG16Q07,IQG16
Khrababik unfinish buildings 4,Hamid kordi hamid,Duhok,Zakho,Markaz Zakho,Self-settled site,Cluster,2,37.14758495,42.74533961,IDP households are dispered,8/1/2014,8/1/2014,110,880,550,100,150,15,5,2,5,15,20,0,Ninewa,Sinjar,"Sinjar center, Qahtanya, snone",8/1/2014,Stay at site,Stay at site,Security concerns: Fear/trauma associated with returning to place of origin Lack of livelihood/income generating activities in AoO Living conditions are better in the area of displacement,"Unfinished and abandoned Residential building Non-Residential structure (garage, farm House, shop)",All shelters (100%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than a quarter (1%-24%),No tenancy agreement,Yes,Private owner,Request to vacate from owner of building/land,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Low and uncovered electrical pylons,None,Neither present in or around the site,Food assistance Winterization items Fuel,No,,,Yes,Municipal water network (private access),Yes,No,,,,Communal latrines Private latrines,Communal showers Private showers,No,No,No,Yes,Numerous cases of diarrhea,Yes,Zakho,No,No,Yes,No,Yes,Zakho,Cost of healthcare was too high,Yes,No,No households (0%),None,Yes,Yes,1,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials",Smallholder agriculture Unskilled agricultural albour Unskilled wage labour Casual unskilled labour Self-employment,Increased competition for jobs; not enough jobs for everyone,25,Yes,1,Yes,Yes,3,Yes,90,Not enough schools or classrooms Physical/ logistical constraints,Less than a quarter (1%-24%),Male middle school Female middle school Male high school Female high school Children with disabilities,None,No,No,Yes,Yes,No,No,No households (0%),150,67590016,310b0cc2-a175-46bc-aa7c-9f76701b5caa,2019-09-12T12:42:13,,238,???? ????,IQG09Q04N01,IQG09Q04,IQG09
Khanke Qadima 6,Khanqy Qadem,Duhok,Sumail,Sindi,Dispersed settlements,Single,,36.77036397,42.78029511,IDP households are dispered,8/1/2014,8/1/2014,18,145,105,25,35,3,5,0,7,55,4,8,Ninewa,Sinjar,"Sinjar/Telbanat , Telezeer",8/1/2014,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Lack of livelihood/income generating activities in AoO Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building Tent,Most shelters (50%-74%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",Less than a quarter (1%-24%),Verbal tenancy agreement,Yes,Private owner,Request to vacate from owner of building/land,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),None,None,Neither present in or around the site,"In-kind shelter assistance i.e. tarpaulines, tents Health services i.e. mobile clinics, pre or post-natal appointments Cash for Work activities",Yes,Food assistance NFIs Winterization items,Government assistance,Yes,Municipal water network (communal access),Yes,No,,,,Private latrines,Private showers,No,No,No,Yes,Numerous cases of diarrhea Numerous cases of fever Typhoid,Yes,Kabarto,No,No,Yes,No,Yes,Sumel,Faciltiies were too far away Insufficient funds to purchase treatment/ medication Cost of transport was too high,Yes,Yes,No households (0%),None,Yes,Yes,2,"Basic food items Water Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Hygiene items Basic medicine Kerosene",Smallholder agriculture Casual unskilled labour Public sector/ civil servant Public security official Pension from government,Increased competition for jobs; not enough jobs for everyone,10,Yes,1,Yes,Yes,3,Yes,80,"Physical/ logistical constraints Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Children have to work to cope with lack of food",Less than a quarter (1%-24%),Female middle school Female high school,None,No,No,Yes,No,No,No,No households (0%),15,67450691,4367ce3e-ba7a-4171-a551-355f09386884,2019-09-11T12:27:39,,210,????,IQG09Q03N04,IQG09Q03,IQG09
New zinyat 3,Ibrahim nayif qasim,Duhok,Sumail,Sindi,Self-settled site,Single,,36.7857629,42.78614879,IDP households are clustered together,8/1/2014,8/1/2014,103,618,350,70,150,10,3,0,5,15,10,3,Ninewa,Sinjar,"Qahtanya, rambozy, tlqasaf, tlbanat, snjar center, zorava , jzira collection",8/1/2014,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Lack of livelihood/income generating activities in AoO House has been damaged/destroyed Basic services in the area of origin are not enough/available (electricity, water, health)",Tent,All shelters (100%),"Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.)",No households (0%),No tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",All have access (100%),Low and uncovered electrical pylons,None,Neither present in or around the site,"Cash Food assistance In-kind shelter assistance i.e. tarpaulines, tents",Yes,Cash NFIs,Local NGO,Yes,Municipal water network (private access),Yes,Yes,Nearly all have access (75%-99%),7,Purchase from truck,Private latrines,Private showers,No,No,No,Yes,Numerous cases of diarrhea Numerous cases of fever,Yes,,No,No,Yes,No,Yes,Sumel,Cost of healthcare was too high,Yes,Yes,All households (100%),None,Yes,Yes,1,"Basic households items (e.g. mattress, blankets, kitchen utensils) Kerosene",Unskilled agricultural albour Unskilled wage labour Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone,20,Yes,3,Yes,Yes,3,Yes,80,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc)",Less than a quarter (1%-24%),Male middle school Female middle school Male high school Female high school,None,No,No,Yes,No,No,No,No households (0%),200,67317282,d3353b01-7eef-49de-9717-6d5b00f9615d,2019-09-10T13:14:19,,196,????,IQG09Q03N04,IQG09Q03,IQG09
Seji unfinish buildings 5,Seji,Duhok,Sumail,Markaz Sumail,Dispersed settlements,Single,,36.90799256,42.88392587,IDP households are dispered,8/1/2014,8/1/2014,20,165,82,20,28,18,0,10,20,35,10,65,Ninewa,Sinjar,no,8/1/2014,Stay at site,Stay at site,Security concerns: Fear/trauma associated with returning to place of origin No financial means to return and restart House has been damaged/destroyed,Unfinished and abandoned Residential building House,Nearly all shelters (75-99%),"Improve safety and security (shelter located in an insecure/ isolated area, shelter not solid enough to offer protection from intruders, not fenced, without security of tenure, etc Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",Less than a quarter (1%-24%),Verbal tenancy agreement,No,,,No,"Yes, but with difficulty (steep routes, too many stairs, etc.)",Nearly all have access (75%-99%),Poor wiring Low and uncovered electrical pylons Electrical sockets near water,None,Neither present in or around the site,Cash Food assistance Winterization items,No,,,Yes,Water trucking,Yes,Yes,Nearly all have access (75%-99%),15,Borrow from friends or relatives Private water storage i.e. jerry cans or water tanks,Private latrines,Private showers,No,Yes,No,Yes,Numerous cases of diarrhea Numerous cases of fever,No,,,,,,Yes,Sumel,Cost of healthcare was too high Faciltiies were too far away Insufficient funds to purchase treatment/ medication,Yes,Yes,Less than half (25%-49%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Limited access to food due to limited economic resources",Yes,No,,,Unskilled wage labour Casual unskilled labour,Available jobs are too far away Underqualified for available jobs,25,Yes,2,No,Yes,2,No,50,"Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Children have to work to cope with lack of food",Less than half (25%-49%),Male middle school Children with disabilities,No money for transportation cost,No,No,Yes,No,No,No,Less than a quarter (1%-24%),45,66686493,82e6bb1b-8f7c-46b8-91d6-a4238e9c24b6,2019-09-04T13:25:46,,73,???? ????,IQG09Q03N03,IQG09Q03,IQG09
Baadre - Shaheed Mahmoud school,Baadre .Shaheed Mahmoud school,Ninewa,Al-Shikhan,Markaz Al-Shikhan,Dispersed settlements,Single,,36.7252272,43.25774315,IDP households are dispered,8/1/2014,8/1/2014,17,120,65,25,35,1,0,1,1,2,4,1,Ninewa,Sinjar,Qayrawan,8/1/2014,Stay at site,Stay at site,"Security concerns: Lack of security forces Security concerns: Presence of explosive hazards (mines, bombs, IEDs) Basic services in the area of origin are not enough/available (electricity, water, health)",Unfinished and abandoned Residential building,Nearly all shelters (75-99%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",Less than half (25%-49%),Verbal tenancy agreement,No,,,Yes,"Yes, but with difficulty (steep routes, too many stairs, etc.)",Nearly all have access (75%-99%),Poor wiring Low and uncovered electrical pylons,None,Neither present in or around the site,Cash Food assistance Fuel,Yes,Cash,INGO,Yes,Municipal water network (private access),No,No,,,,Private latrines,Private showers,No,Yes,No,Yes,None,Yes,Baadre,Yes,No,Yes,Yes,Yes,Shekhan,Cost of healthcare was too high Insufficient funds to purchase treatment/ medication Cost of transport was too high,Yes,Yes,Less than a quarter (1%-24%),"Limited access to food due to physical/logistical constraints (e.g. damaged roads, no vehicles, long distance) Limited access to food due to security constraints Limited access to food due to limited economic resources",Yes,Yes,1,Basic food items Hygiene items,Unskilled agricultural albour Unskilled wage labour Casual unskilled labour,"Increased competition for jobs; not enough jobs for everyone Only low-skilled, socially degrading or low-paid jobs are available",3,Yes,1,Yes,Yes,2,Don't know,75,"Physical/ logistical constraints Long distance to travel to school Limited economic resources (e.g. to pay for school fees, uniform, transport, books, etc) Children have to work to cope with lack of food",Less than a quarter (1%-24%),Male middle school Female middle school Male high school Female high school Children with disabilities,None,No,No,Yes,No,No,No,Less than half (25%-49%),12,67586818,6e1186ab-427d-458a-8953-c4cb39449384,2019-09-12T12:28:42,,232,???? ???????,IQG15Q06N01,IQG15Q06,IQG15
New zinyat 4-1,Zaeneat Jadeda 4,Duhok,Sumail,Sindi,Dispersed settlements,Cluster,3,36.77940232,42.78050812,IDP households are dispered,8/1/2014,8/1/2014,25,295,75,30,70,0,0,0,1,5,45,55,Ninewa,Sinjar,Al AndasQ.,8/1/2014,Stay at site,Stay at site,"Security concerns: Fear/trauma associated with returning to place of origin Basic services in the area of origin are not enough/available (electricity, water, health) House has been damaged/destroyed",Unfinished and abandoned Residential building Tent,Nearly all shelters (75-99%),"Improve privacy and dignity (no separate rooms, not enough space, shared facilities such as toilets & showers, low/high ceilings, lack of ventilation, lack of natural lighting) Protect from climatic conditions (leaking roof, floor not insulated, opening on the walls, broken windows, lack of ventilation, missing heating system, etc.) Improve basic infrastructures and utilities (access to electricity, cooking and bathing/toilet  facilities)",No households (0%),No tenancy agreement,No,,,Yes,"No, the site is not accessible",All have access (100%),Poor wiring Low and uncovered electrical pylons,None,Neither present in or around the site,Cash Food assistance Fuel,No,,,No,Municipal water network (private access),Yes,Yes,All have access (100%),7,Purchase from truck,Private latrines,Private showers,No,No,No,Yes,Numerous cases of diarrhea,Yes,Khanke,No,No,No,No,Yes,Semel,Cost of healthcare was too high No transport available,No,Yes,No households (0%),None,Yes,Yes,1,Everything needed is available,Unskilled agricultural albour Casual unskilled labour,Increased competition for jobs; not enough jobs for everyone Underqualified for available jobs,7,No,,,No,,,90,Not enough teachers Long distance to travel to school,No children (0%),None,None,No,No,Yes,No,No,No,No households (0%),25,67315097,80263c53-c5fa-4971-8509-b33840ffab3a,2019-09-10T12:59:40,,191,????,IQG09Q03N04,IQG09Q03,IQG09
