csv_field,alias,type,category,traffic_light,chart,chart_details,,csv_field,alias,type,,,category,traffic_light,chart,chart_details
ind_ages/ind_age_groups/males_0_4,Males: 0-4,integer,demographics,,age_pyramid,m,,background/females_60_over,Females 60 Over,integer,,,background,,,
ind_ages/ind_age_groups/females_0_4,Females: 0-4,integer,demographics,,age_pyramid,f,,background/hh_ages/total_population,Total of HH Ages,integer,,,background,,,
ind_ages/total_population,Total population,integer,general,,,,,background/hh_ages/total_population_confirm,Total of confirmed HH Ages,string,,,background,,,
ind_ages/vulnerabilities_groups./F_HoH,Female headed HH,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/F_HoH,F_HoH,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./Child_HoH,Child headed HH,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/Child_HoH,Child_HoH,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./unaccompanied_separated,Unaccompanied or separated children,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/unaccompanied,Unaccompanied,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./ppl_physical_dis,Physical disability,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/ppl_physical_dis,People physial Dis,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./ppl_mental_dis,Mental disability,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/ppl_mental_dis,People mental Dis,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./preg_or_lac,Pregnant/ lactating mothers,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/preg_or_lac,Preg / LAC,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./ppl_chronic_disease,Chronic disease,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/ppl_chronic_disease,People chronic Dis,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./elderly_at_risk,Elderly at risk,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/elderly_at_risk,Elderly at risk,integer,,,vulnerable,,,
ind_ages/vulnerabilities_groups./widow,Widows,integer,vulnerable,,vulnerable_type,,,vulnerabilities_groups/widow,Widow,integer,,,vulnerable,,,
Needs/priority_needs,Priority needs,list,general,,,,,social_cohesion/tension,Tension,string,,,socialcohesion,,,
nfi_items/blankets,Blankets,string,nfi,percentagegreen,,,,social_cohesion/owner,Owner,string,,,socialcohesion,,,
nfi_items/mattress,Mattress,string,nfi,percentagegreen,,,,social_cohesion/whatform,Whatform,string,,,socialcohesion,,,
nfi_items/water_container,Water containers,string,nfi,percentagegreen,,,,social_cohesion/whatarrangement,What arrangement,string,,,socialcohesion,,,
nfi_items/oven,Ovens / stoves,string,nfi,percentagegreen,,,,social_cohesion/eviction,Eviction,string,,,socialcohesion,,,
nfi_items/fuel,Fuel for cooking,string,nfi,percentagegreen,,,,social_cohesion/evict_when,Evitct date,,ess_than_two_weeks,,socialcohesion,,,
nfi_items/kitchen_nfi,Kitchen items,string,nfi,percentagegreen,,,,social_cohesion/intentions,Intentions,string,,,socialcohesion,,,
nfi_items/hygiene,Hygiene items,string,nfi,percentagegreen,,,,social_cohesion/governorate_move,Governorate Move,string,it is empty field ,,socialcohesion,,,
nfi_items/feminine,Feminine hygiene items,string,nfi,percentagegreen,,,,social_cohesion/leadership,Leadership,string,,,socialcohesion,,,
nfi_items/other_nfi_items,Other NFI items,string,nfi,,,,,social_cohesion/leadership_structure_who,Leadership structure,string,,,socialcohesion,,,
nfi_items/other_specify,Other NFI items (detail),string,nfi,percentagegreen,,,,social_cohesion/leadership_structure_who/elder_religious_leaders,Elder religious leaders,string,true false,,socialcohesion,,,
wash/water_quantity,Number of litres per person / per day,integer,wash,,,,,social_cohesion/leadership_structure_who/camp_committee,Camp committee,string,true false,,socialcohesion,,,
wash/wash_source,Main source of drinking water,string,wash,,,,,social_cohesion/leadership_structure_who/local_auth,Local Auth,string,true false,,socialcohesion,,,
wash/water_points,Number of water points,integer,wash,,,,,social_cohesion/leadership_structure_who/other,Other,string,true false,,socialcohesion,,,
wash/latrines_nonsegregated,Number of latrines,integer,wash,,,,,social_cohesion/leadership_structure_who/none,None,string,true false,,socialcohesion,,,
wash/latrines_male,Number of male latrines,integer,wash,,,,,social_cohesion/leadership_structure_other,Leadership structure other,string,,,socialcohesion,,,
wash/latrines_female,Number of female latrines,integer,wash,,,,,social_cohesion/comments_sc,Comments,string,,,socialcohesion,,,
wash/shower_nonsegregated,Number of showers,integer,wash,,,,,physical_environment/chemicals,Chemicals,string,,,physicalenvironment,,,
wash/shower_male,Number of male showers,integer,wash,,,,,physical_environment/mines,Mines,string,,,physicalenvironment,,,
wash/shower_female,Number of female showers,integer,wash,,,,,physical_environment/hazardous_site,Hazardous site,string,,,physicalenvironment,,,
wash/wastebins,Number of communal wastebins,integer,wash,,,,,physical_environment/electric,Electric,string,less_25%,,physicalenvironment,,,
health/health_phc,Primary Health Care service (PHS),string,health,yesgreen,,,,physical_environment/elec_concerns,Electric concerns,list,"poor, wiring low, uncovered, points overloaded, circuits",,physicalenvironment,,,
health/health_femaleworkers,Female Health Workers in PHS,string,health,yesgreen,,,,physical_environment/elec_concerns/no_electricity,No electricity,string,true false,,physicalenvironment,,,
health/health_shc,Secondary Health service,string,health,yesgreen,,,,physical_environment/elec_concerns/poor_wiring,Poor wiring,string,true false,,physicalenvironment,,,
health/health_services_preg,Health Care Provider for pregnant/lactating women,string,health,yesgreen,,,,physical_environment/elec_concerns/low_uncovered_points,low uncovered points,string,true false,,physicalenvironment,,,
health/health_ambulance,Ambulance 24/7 available,string,health,yesgreen,,,,physical_environment/elec_concerns/points_near_water,Points near water,string,true false,,physicalenvironment,,,
health/ilness_type,Illnesses in site,list,health,,,,,physical_environment/elec_concerns/overloaded_circuits,Overloaded circuits,string,true false,,physicalenvironment,,,
food_security/food_access,Sufficient & reliable access to food,string,food_security,yesgreen,,,,physical_environment/elec_concerns/non,None,string,true false,,physicalenvironment,,,
food_security/food_assistance_freq,Food assistance frequency,string,food_security,,,,,physical_environment/elec_concerns/other,Other,string,true false,,physicalenvironment,,,
food_security/food_assistance_type,Food assistance types,list,food_security,,,,,physical_environment/elec_concerns_others,elec_concerns_others,string,,to be deleted,physicalenvironment,,,
protection/security,Security provider,string,protection,nonered,,,,physical_environment/fire_equipment,Fire equipment,string,fire_blankets,,physicalenvironment,,,
protection/departure,Permanent departure,string,protection,yesgreen,,,,physical_environment/fire_equipment/fire_extinguishers,Fire extinguishers,string,true false,,physicalenvironment,,,
protection/temp_leaving_camp_med,Temporary departure for medical emergency,string,protection,yesgreen,,,,physical_environment/fire_equipment/fire_blankets,Fire blankets,string,true false,,physicalenvironment,,,
protection/temp_leaving_camp_markt,Temporary departure for other reasons,string,protection,yesgreen,,,,physical_environment/fire_equipment/sand_buckets,Sand buchets,string,true false,,physicalenvironment,,,
protection/phones_allowed,Phones allowed,string,protection,yesgreen,,,,physical_environment/fire_equipment/smoke_detectors,Smoke detectors,string,true false,,physicalenvironment,,,
protection/missing_docs,% camp residents missing ID documents,string,protection,,,,,physical_environment/fire_equipment/none,None,string,true false,,physicalenvironment,,,
protection/uxo,UXOs inside or near camp,string,protection,nogreen,,,,physical_environment/fire_equipment/other,Other,string,true false,,physicalenvironment,,,
protection/services_prot,Protection services available,list,protection,,,,,physical_environment/fire_equipment_others,fire_equipment_others,string,,to be deleted,physicalenvironment,,,
protection/host_tension,Tension with host community,string,protection,nogreen,,,,physical_environment/dis_access,dis_access,string,yes no partial_accesss,,physicalenvironment,,,
protection/access_markets,Access to market within camp,string,protection,yesgreen,,,,physical_environment/comments_pc,comments_pc,string,,to be deleted,physicalenvironment,,,
education_access/primary_school,Primary school in camp or nearby & accessible,string,education,yesgreen,,,,wash/water_access,Water access,string,less_25%,,wash,,,
education_access/secondary_school,Secondary school in camp or nearby & accessible,string,education,yesgreen,,,,wash/water_qual,Water Qual,string,clean_water,,wash,,,
education/boys_primary,Boys attending primary school,integer,education,,,,,wash/water_infas,Wanter Infas,string,btw_50%_75%,,wash,,,
education/boys_secondary,Boys attending secondary school,integer,education,,,,,wash/water_amount,Wanter amount,string,yes no  ,,wash,,,
education/girls_primary,Girls attending secondary school,integer,education,,,,,wash/water_amount_figure,Water amount figure,integer,,,wash,,,
education/girls_secondary,Girls attending secondary school,integer,education,,,,,showers/ind_hh_showers,Ind HH Showers,integer,,,wash,,,
education/reasons_not_school,Reasons for not attending school,string,education,,,,,showers/womenshower,Women shower,integer,,,wash,,,
education/non_formal_edu,Non-formal education in camp or nearby & accessible,string,education,yesgreen,,,,showers/menshower,Men shower,integer,,,wash,,,
education/non_formal_participation,% non-formal participation,integer,education,,,,,showers/mixedshower,Mixed shower,integer,,,wash,,,
education/recreational,% recreational activities participation,integer,education,,,,,showers/nonfunctionalshowers,Nonfunctional showers,integer,,,wash,,,
who_what/partners_protection,Protection,string,who_what,nonered,,,,latrines/ind_hh_latrines,Ind HH Latrines,integer,,,wash,,,
who_what/partners_gbv,GBV,string,who_what,nonered,,,,latrines/womenlatrine,Women latrine,integer,,,wash,,,
who_what/partners_childprot,Child Protection,string,who_what,nonered,,,,latrines/menlatrine,Men latrine,integer,,,wash,,,
who_what/partners_education,Education,string,who_what,nonered,,,,latrines/mixedlatrine,Mixed latrine,integer,,,wash,,,
who_what/partners_shelter,Shetler,string,who_what,nonered,,,,latrines/nonfunctionallatrines,Nonfunctional latrines,integer,,,wash,,,
who_what/partners_water,Water,string,who_what,nonered,,,,l_s_protection/showers_lock,Showers lock,string,,,wash,,,
who_what/partners_sanitation,Sanitation,string,who_what,nonered,,,,l_s_protection/showers_light,Showers light,string,less_25%,,wash,,,
who_what/partners_waste,Waste management,string,who_what,nonered,,,,l_s_protection/latrines_lock,Latrines lock,string,,,wash,,,
who_what/partners_nfi,NFI,string,who_what,nonered,,,,l_s_protection/latrines_light,Latrines light,string,less_25%,,wash,,,
who_what/partners_phc,PHC,string,who_what,nonered,,,,sanitation/soap,Soap,string,,,wash,,,
who_what/partners_shc,SHC,string,who_what,nonered,,,,sanitation/functional_taps,Funcational taps,integer,,,wash,,,
who_what/partners_mhpss,MHPSS,string,who_what,nonered,,,,sanitation/drinking,Dringking ,string,diff string,,wash,,,
who_what/partners_nutrition,Nutrition,string,who_what,nonered,,,,sanitation/drinking/illegal,Illegal,string,true false,,wash,,,
who_what/partners_food,Food,string,who_what,nonered,,,,sanitation/drinking/treatment_plant,Treatment plant,string,true false,,wash,,,
who_what/partners_socialcohesion,Social cohesion,string,who_what,nonered,,,,sanitation/drinking/trucking,Trucking,string,true false,,wash,,,
who_what/partners_livelihood,Livelihood,string,who_what,nonered,,,,sanitation/drinking/broken_pipe,Broken pipe,string,true false,,wash,,,
who_what/partners_communication,Communication,string,who_what,nonered,,,,sanitation/drinking/natural_source,Natural source,string,true false,,wash,,,
,,,,,,,,sanitation/drinking/public_well,Public well,string,true false,,wash,,,
,,,,,,,,sanitation/drinking/municipality,Municipality,string,true false,,wash,,,
,,,,,,,,sanitation/drinking/purchase,Purchase,string,true false,,wash,,,
,,,,,,,,sanitation/drinking/private_well,Privae well,string,true false,,wash,,,
,,,,,,,,sanitation/drinking/borehole,Borehole,string,true false,,wash,,,
,,,,,,,,sanitation/drinking/none,None,string,true false,,wash,,,
,,,,,,,,sanitation/flooding,Flooding,string,yes no  ,,wash,,,
,,,,,,,,sanitation/open_def,Open Def,string,yes no  ,,wash,,,
,,,,,,,,sanitation/septic_tank,Septic tank,string,no_septic_tank,,wash,,,
,,,,,,,,sanitation/wastefrequency,Waste frequency,string,every_week,,wash,,,
,,,,,,,,sanitation/comments_wash,Comments Wash,string,,to be deleted,wash,,,
,,,,,,,,physical_conditions/person_hazards,Person Hazards,string,,,physicalcondition,,,
,,,,,,,,physical_conditions/falling_hazards,Falling hazards,string,,,physicalcondition,,,
,,,,,,,,physical_conditions/elements,Elements,string,less_25%,,physicalcondition,,,
,,,,,,,,physical_conditions/damage,Damage,string,yes no  ,,physicalcondition,,,
,,,,,,,,physical_conditions/overcrowding,Over crowding,string,less_25%,,physicalcondition,,,
,,,,,,,,physical_conditions/window_damage,Window damage,string,less_25%,,physicalcondition,,,
,,,,,,,,physical_conditions/door_damage,Door damage,string,less_25%,,physicalcondition,,,
,,,,,,,,physical_conditions/roof_damage,Roof damage,string,less_25%,,physicalcondition,,,
,,,,,,,,physical_conditions/structure_injury_risk,Structure injury risk,string,,,physicalcondition,,,
,,,,,,,,physical_conditions/comments_physical_conditions,Comments physical conditions,string,,to be deleted,physicalcondition,,,
,,,,,,,,nfi_shelter/cleaning_material,Cleaning material,string,yes no  ,,nfi,,,
,,,,,,,,nfi_shelter/winter_season,Winter season,string,btw_25%_50%,,nfi,,,
,,,,,,,,nfi_shelter/w_nfi,Winter NFI,string,jerrycan_for_kerosene,,nfi,,,
,,,,,,,,nfi_shelter/summer_season,Summer season,string,btw_25%_50%,,nfi,,,
,,,,,,,,nfi_shelter/s_nfi,Summer NFI,string,coolbox,,nfi,,,
,,,,,,,,nfi_shelter/tool_kit,Tool Kit,string,,emty,nfi,,,
,,,,,,,,nfi_items/nfi_availability,NFI availability,string,btw_50_75_percent,,nfi,,,
,,,,,,,,nfi_items/blankets,Blankets,string,btw_50_75_percent,,nfi,,,
,,,,,,,,nfi_items/mattress,Mattress,string,btw_25_50_percent,,nfi,,,
,,,,,,,,nfi_items/water_container,Water container,string,btw_50_75_percent,,nfi,,,
,,,,,,,,nfi_items/oven,Oven,string,btw_25_50_percent,,nfi,,,
,,,,,,,,nfi_items/kitchen_nfi,Kitchen NFI,string,btw_25_50_percent,,nfi,,,
,,,,,,,,nfi_items/hygiene,Hygiene,string,btw_25_50_percent,,nfi,,,
,,,,,,,,nfi_items/feminine,Feminine,string,btw_25_50_percent,,nfi,,,
,,,,,,,,nfi_items/other_nfi_items,Other NFI items,string,Kerosene and a stove,,nfi,,,
,,,,,,,,nfi_other/other_specify,Other specific NFI,string,,,nfi,,,
,,,,,,,,nfi_other/comments_s_nfi,NFI comments,string,yes,,nfi,,,
,,,,,,,,health/health_services,Health service,string,yes,,health,,,
,,,,,,,,health/health_services_preg,Health service Preg,string,yes,,health,,,
,,,,,,,,health/access_difficulty,Access difficulty,string,unable_purchase_meds_at_pharm,,health,,,
,,,,,,,,health/difficulty_type,Difficulty type,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/healthcare_cost,Healthcare cost,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/unqualified_staff_hosp,Unqualified staff hsp,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/unqualified_staff_phc,Unqualified staff phc,string,TRUE,,health,,,
,,,,,,,,health/difficulty_type/unable_purchase_meds_at_pharm,Unable to purchase meds,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/language_barrier,Lanuage barrier,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/refused_treatment,Refused treatment,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/no_medicine_hosp,No medicine hosp,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/no_medicine_pharm,No medicine pharmacy,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/no_medicine_phc,No medicine phc,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/no_transport,No transport,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/no_offered_treatment_phc,No offered treatment phc,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/no_offered_treatment_hosp,No offered treatment hosp,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/civ_docs_problems,Civ docs problems,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/no_referral_phc,No referral phc,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/phc_closed,Phc closed ,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/distance_to_treatmentcenter,Distance to reatment center,string,FALSE,,health,,,
,,,,,,,,health/difficulty_type/other,Other,string,trauma_support,,health,,,
,,,,,,,,health/pyschosocial_support,Psychosocial support,string,TRUE,,health,,,
,,,,,,,,health/pyschosocial_support/trauma_support,Trauma support,string,FALSE,,health,,,
,,,,,,,,health/pyschosocial_support/gbv_support,Gbv support,string,other,,health,,,
,,,,,,,,health/ilness_type,Illness type,string,FALSE,,health,,,
,,,,,,,,health/ilness_type/diarrhoea,Diarrhoea,string,FALSE,,health,,,
,,,,,,,,health/ilness_type/cholera,Cholera,string,FALSE,,health,,,
,,,,,,,,health/ilness_type/typhoid,Typhoid,string,FALSE,,health,,,
,,,,,,,,health/ilness_type/hepatitis_A_E,Hepatitis a e,string,FALSE,,health,,,
,,,,,,,,health/ilness_type/soil_transmitted_helminths,Soil transmitted helminthes,string,FALSE,,health,,,
,,,,,,,,health/ilness_type/skin_disease,Skin disease,string,TRUE,,health,,,
,,,,,,,,health/ilness_type/other,Other,string,FALSE,,health,,,
,,,,,,,,health/ilness_type/do_not_know,Do not know,string,,,health,,,
,,,,,,,,health/comments_health,Comments health,string,yes,,health,,,
,,,,,,,,food_security/food_access,Food access,string,every_month,,food,,,
,,,,,,,,food_security/food_assistance_freq,Food assistance freq,string,dry_ration,,food,,,
,,,,,,,,food_security/food_assistance_type,Food assistance type,string,TRUE,,food,,,
,,,,,,,,food_security/food_assistance_type/dry_ration,Dry ration,string,FALSE,,food,,,
,,,,,,,,food_security/food_assistance_type/wet_feeding,Wet feeding,string,FALSE,,food,,,
,,,,,,,,food_security/food_assistance_type/ready_to_eat_box,Ready to eat box,string,FALSE,,food,,,
,,,,,,,,food_security/food_assistance_type/cash,Cash,string,FALSE,,food,,,
,,,,,,,,food_security/food_assistance_type/voucher,Voucher,string,main_concern6,,food,,,
,,,,,,,,food_security/main_concern,Main concern,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern1,Main concern1,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern2,Main concern2,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern3,Main concern3,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern4,Main concern4,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern5,Main concern5,string,TRUE,,food,,,
,,,,,,,,food_security/main_concern/main_concern6,Main concern6,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern7,Main concern7,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern8,Main concern8,string,FALSE,,food,,,
,,,,,,,,food_security/main_concern/main_concern9,Main concern9,string,,,food,,,
,,,,,,,,food_security/other_concern,Other concern,string,yes,,food,,,
,,,,,,,,food_security/food_storage,Food storage,string,oil,,food,,,
,,,,,,,,food_security/comments_health,Comments health,string,no,,food,,,
,,,,,,,,protection/security_incidents,Security incidents,string,,,protection,,,
,,,,,,,,protection/security_by_whom,Security by whom,string,,,protection,,,
,,,,,,,,protection/security_by_whom/host_comm,Host comm,string,,,protection,,,
,,,,,,,,protection/security_by_whom/armed_forces,Armed forces,string,,,protection,,,
,,,,,,,,protection/security_by_whom/local_auth,Local auth,string,,,protection,,,
,,,,,,,,protection/security_by_whom/other,Other,string,,,protection,,,
,,,,,,,,protection/security_by_whom/choose_not_answer,Choose not answer,string,,,protection,,,
,,,,,,,,protection/security_by_whom_other,Security by whom other,string,no,,protection,,,
,,,,,,,,protection/security_nearby,Security nearby,string,no,,protection,,,
,,,,,,,,protection/security_menboys,Security menboys,string,no,,protection,,,
,,,,,,,,protection/security_womengirls,Security womengirls,string,none,,protection,,,
,,,,,,,,protection/safety_m_b,Safety m b,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/in_shelters,In shelters,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/specific_areas_in_the_camp,Specific areas in the camp,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/water_point,Water point,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/latrines,Latrines,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/bathing,Bathing,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/market,Market,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/school,School,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/health_centre,Health center,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/feeding_distribution_centre,Feeding distribution center,string,TRUE,,protection,,,
,,,,,,,,protection/safety_m_b/none,None,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/other,Other,string,FALSE,,protection,,,
,,,,,,,,protection/safety_m_b/chose_not_answer,Chose not answer,string,none,,protection,,,
,,,,,,,,protection/safety_w_g,Safety w g,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/in_shelters,In shelters,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/specific_areas_in_the_camp,Specific areas in the camp,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/water_point,Water point,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/latrines,Latrines,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/bathing,Bathing,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/market,Market,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/school,School,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/health_centre,Health center,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/feeding_distribution_centre,Feeding distribution center,string,TRUE,,protection,,,
,,,,,,,,protection/safety_w_g/none,None,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/other,Other,string,FALSE,,protection,,,
,,,,,,,,protection/safety_w_g/chose_not_answer,Chose not answer,string,more_75%,,protection,,,
,,,,,,,,protection/reg_MoDM,Reg modm,string,no,,protection,,,
,,,,,,,,protection/civil_documents,Civil documents,string,,,protection,,,
,,,,,,,,protection/comments_protection,Comments protection,string,btw_25%_50%,,protection,,,
,,,,,,,,livelihoods/income,Livelihoods/income,string,,,livelehood,,,
,,,,,,,,livelihoods/comments_livelihoods,Livelihoods/comments livelihoods,string,yes,,livelehood,,,
,,,,,,,,education/formal_education,Formal education,string,no,,education,,,
,,,,,,,,education/nonformal_education,Nonformal education,string,no,,education,,,
,,,,,,,,education/pfa_pss,Pfa pss,string,no,,education,,,
,,,,,,,,education/teachers,Teachers,string,,,education,,,
,,,,,,,,education/teacher_number,Teacher number,string,,,education,,,
,,,,,,,,education/comments_education,Comments education,string,employment shelter_support summerization,,education,,,
,,,,,,,,Needs/priority_needs,Needs,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/documentation,Documentation,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/education,Education,string,TRUE,,need,,,
,,,,,,,,Needs/priority_needs/employment,Employment,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/Food,Food,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/language,Language,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/Medical_care,Medical care,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/Psychosocial_Support,Psychosocial support,string,TRUE,,need,,,
,,,,,,,,Needs/priority_needs/shelter_support,Shelter support,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/Water,Water,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/registration,Registration,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/Sanitation,Sanitation,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/vocational_training,Vocational training,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/footwear,Footwear,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/clothing,Clothing,string,TRUE,,need,,,
,,,,,,,,Needs/priority_needs/summerization,Summarization,string,FALSE,,need,,,
,,,,,,,,Needs/priority_needs/other,Other,string,,,need,,,
,,,,,,,,Needs/other_priority_needs,Other needs,string,,,need,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
